"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.591","0.000","-305.700","13993.7","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.985","0.000","-250.800","13998.3","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.527","0.010","-299.400","13994.3","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.865","0.018","-307.200","14000.9","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.302","0.023","-270.900","13993.9","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.752","0.028","-326.100","14001.7","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.089","0.032","-289.500","13993.3","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.415","0.037","-224.700","14001.1","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.588","0.041","-134.100","13994.2","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.955","0.044","-145.500","14000.7","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.141","0.048","-199.800","13996.5","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.270","0.051","-170.400","14001.0","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.421","0.054","-140.100","13998.5","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.635","0.057","-172.500","13999.6","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.690","0.060","-142.500","14000.0","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.815","0.063","-160.200","13989.2","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.828","0.066","-127.500","13959.4","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.921","0.068","-143.100","13900.7","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.915","0.072","-138.000","13850.4","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.896","0.076","-141.600","13783.3","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.869","0.080","-113.400","13726.4","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.837","0.083","-144.300","13654.5","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.772","0.086","-156.600","13593.0","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.731","0.090","-169.500","13518.6","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.653","0.093","-161.400","13448.0","6.000","7.000","12.389","6.456","0.048"
